Compuestos,SMILES
1,CC1C=CC2(C1C2)C(C)C
2,CC1=CCC2CC1C2(C)C
3,CC1(C2CCC(C2)C1=C)C
4,CC(C)[C@]12CCC(=C)[C@H]1C2
5,CC1([C@H]2CCC(=C)[C@@H]1C2)C
6,CC(=CCCC(=C)C=C)C
7,CC1CC2C(C2(C)C)C=C1
8,CC1=CC=C(C=C1)C(C)C
9,CC1=CC[C@@H](CC1)C(=C)C
10,CC1(C2CCC(O1)(CC2)C)C
11,CC(=CC/C=C(\C)/C=C)C
12,CC(=CC/C=C(/C)\C=C)C
13,CC1=CCC(=CC1)C(C)C
14,C[C@@]1(O)CC[C@@H](CC1)C(=C)C
15,CC1=CCC(=C(C)C)CC1
16,CC(=CCCC(C)(C=C)O)C
17,CCCCCCCCCC=O
18,CCCCCC(C=C)OC(=O)C
19,CCCCCCCC(=O)OC
20,C[C@H](CCC=C(C)C)CC=O
21,C[C@@H]1CC[C@H](C(=O)C1)C(C)C
22,CC1(C2CC1C(=C)C(=O)C2)C
23,CC1=CCC(CC1)(C(C)C)O
24,CC1=CCC(CC1)C(C)(C)O
25,CCCCCCCCCC=O
26,CCCCCCCCC(=O)OC
27,CC(CCC=C(C)C)CCO
28,CC1CCC(=C(C)C)C(=O)C1
29,C[C@H](CCC=C(C)C)CC(=O)OC
30,CC(=C)C1CCC(=CC1)C=O
31,C[C@@H]1CC[C@H]([C@H]2[C@]13[C@@H]2C(=CC3)C)C(C)C
32,CC1=CC[C@H]2[C@H]3[C@@H]1[C@@]2(CC[C@H]3C(C)C)C
33,CC(C)[C@@H]1CC[C@@]2([C@H]1[C@@H]3[C@H]2CCC3=C)C
34,C[C@@H]1CC[C@H]([C@H]2[C@]13[C@@H]2C(=C)CC3)C(C)C
35,C[C@H]1CC[C@H](C2=C1C=CC(=C2)C)C(C)C
36,C[C@@H]1CC[C@@H]2[C@@H](C2(C)C)C3=C(CC[C@H]13)C
37,C/C/1=C\CCC(=C)[C@H]2CC([C@@H]2CC1)(C)C
38,CC(C)[C@@H]1CC[C@@]2([C@@H]3[C@H]1[C@H]2C(=C)CC3)C
39,CC1=CCC[C@]2([C@H]1C[C@@H](CC2)C(=C)C)C
40,C/C/1=C\CC(/C=C/C/C(=C/CC1)/C)(C)C
41,C[C@@H]1CC[C@H]2[C@@H]1[C@H]3[C@H](C3(C)C)CCC2=C
42,CC1CCC=C2C1(C3C(C3(C)C)CC2)C
43,C/C/1=C\CCC(=C)/C=C/[C@@H](CC1)C(C)C
44,CC(=C)[C@@H]1CC[C@]2(CCCC(=C)[C@@H]2C1)C
45,CC1CCC(=C2C1CCC(=C)C2)C(C)C
46,CC1=CCCC(C1=C)(C)C
47,CC(=CCC/C(=C/C/C=C(\C)/C=C)/C)C
48,C/C/1=C\CC/C(=C\CC(CC1)C(=C)C)/C
49,C[C@H]1CC[C@@H]([C@@H]2[C@@]13[C@H]2[C@@](CC3)(C)O)C(C)C
50,CC1=C[C@H]2[C@@H](CCC(=C2CC1)C)C(C)C
51,CC(=CCC/C(=C/CCC(C)(C=C)O)/C)C
52,CC1CCC2(C1C3C(C3(C)C)CCC2C)O
53,C[C@@]1(CC[C@@H]2[C@@H]1[C@H]3[C@H](C3(C)C)CCC2=C)O
54,C[C@@]12CC[C@@H]3[C@H](CC3(C)C)C(=C)CC[C@H]1O2
55,CC1CCC23C1CC(C2(C)C)CCC3=C